"subject_ordinal","scope","module_id","item_id","response_type","state","analysis_state","raw_value","option_id","content_fingerprint","content_version","scoring_version"
1,"specialist","anarchist-families-module","fm-an-1","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","anarchist-families-module","fm-an-2","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","anarchist-families-module","fm-an-3","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","anarchist-families-module","fm-an-4","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","conservative-variants-module","fm-co-1","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","conservative-variants-module","fm-co-2","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","conservative-variants-module","fm-co-3","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","conservative-variants-module","fm-co-4","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","feminist-faction-module","fm-fem-1","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","feminist-faction-module","fm-fem-2","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","feminist-faction-module","fm-fem-3","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","feminist-faction-module","fm-fem-4","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","feminist-faction-module","fm-fem-5","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","feminist-faction-module","fm-fem-6","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","feminist-faction-module","fm-fem-7","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","feminist-faction-module","fm-fem-8","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","green-morphology-module","fm-gr-1","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","green-morphology-module","fm-gr-2","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","green-morphology-module","fm-gr-3","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","green-morphology-module","fm-gr-4","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","green-morphology-module","fm-gr-5","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-1","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-10","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-11","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-12","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-13","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-14","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-15","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-16","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-17","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-18","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-19","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-2","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-20","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-21","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-22","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-3","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-4","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-5","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-6","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-7","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-8","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","identity-sovereignty-module","fm-id-9","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","monarchist-municipal-module","fm-mm-1","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","monarchist-municipal-module","fm-mm-2","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","monarchist-municipal-module","fm-mm-3","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","monarchist-municipal-module","fm-mm-4","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","religious-national-politics-module","fm-rn-1","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","religious-national-politics-module","fm-rn-10","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","religious-national-politics-module","fm-rn-11","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","religious-national-politics-module","fm-rn-2","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","religious-national-politics-module","fm-rn-3","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","religious-national-politics-module","fm-rn-4","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
1,"specialist","religious-national-politics-module","fm-rn-5","likert7","structural_not_applicable","structural_not_applicable",,,"bb1dfddf12db1224215440d48f14cf876b9228a850d585e70d49d18b455aaa72","v2-content-phase8.1","scoring-v2.phase7.1"
